TMIN,TMAX,IRRAD,RAIN,DVS,fertilizer,TGROWTHr,TRANRF,WLL,reward,WSO,val,nevents,year,ndays,location
6.14382978723404,15.8634574468085,12970585.106383,0.141154255319149,137.275986896887,12,1541.01692252776,139.790382049268,735.818154629599,-53.8710272658993,373.156582373963,3.0273425579071,3,1990,188,48;0
5.61585365853659,14.183756097561,12845853.6585366,0.189765853658537,143.713915037627,18,2382.52017185264,203.970994916992,0.738907504602622,121.399405408726,905.471973687374,4.00998735427856,7,1990,205,52;5.5
5.03128078817734,15.1926600985222,12830098.5221675,0.112822660098522,131.861949389694,10,1122.25184238008,137.396547198072,1248.34133790475,-41.736731545542,247.641743959978,2.59454703330994,5,1991,203,48;0
4.57511312217195,13.2531674208145,12498325.7918552,0.161307692307692,135.883615378842,16,2036.52252918398,197.977477802333,507.597527627478,105.565685460421,801.167754120044,3.39482569694519,7,1991,221,52;5.5
5.31884422110553,15.6953266331658,12877537.6884422,0.119226130653266,122.715313787743,8,1149.35247900506,144.407646805749,1206.28998747288,-18.7412517466159,353.781120572168,1.8189879655838,4,1992,199,48;0
5.51057971014493,14.0046859903382,12591787.4396135,0.183507246376812,127.937444821597,14,2205.31736275282,202.967857635764,73.7286155099451,95.8539185408685,865.380888590986,3.18725872039795,4,1992,207,52;5.5
5.6880303030303,15.2343939393939,12517575.7575758,0.177732323232323,137.835759694581,8,1853.32773660727,184.615473780823,287.207789815902,68.2655799220206,733.101807202935,2.85198831558228,2,1993,198,48;0
5.18328571428572,14.1064285714286,12292095.2380952,0.177,137.533848682774,12,1771.79107841284,184.292741802055,557.784072253094,12.6848791069648,610.112339194156,1.57694053649902,4,1993,210,52;5.5
6.12764102564103,15.1545641025641,13444153.8461538,0.215435897435897,136.687063376897,18,2325.93198677845,194,0.180654226866835,175.674866783896,1018.18174086913,4.38168954849243,7,1994,195,48;0
5.17454976303318,13.6793838862559,12796303.3175355,0.210838862559242,127.024051710684,24,2491.70976981488,210,0.135064598860346,163.788775946011,990.097919344585,4.72805833816528,12,1994,211,52;5.5
5.74507614213198,14.8356345177665,12259695.4314721,0.224010152284264,137.689514951058,20,2203.55200294012,196,0.199401363617167,140.812026484668,955.729953813784,4.07190179824829,10,1995,197,48;0
5.39009523809524,13.7950952380952,12697571.4285714,0.236242857142857,133.17927135845,24,2541.57965683496,209,0.0340857031824218,173.007008192187,1009.86636502873,5.28554582595825,12,1995,210,52;5.5
5.01425120772947,14.9792753623188,13128309.178744,0.15356038647343,133.569163834952,16,2082.42732948461,181.238776473739,445.14279876527,-76.0629112100091,587.673051495693,2.95876145362854,6,1996,207,48;0
3.47381974248927,12.8137768240343,12565150.2145923,0.117141630901288,126.310021002286,12,1405.38053842697,186.9312352285,962.512666418054,-15.6397720092955,492.883896416126,2.83650302886963,6,1996,233,52;5.5
5.26268656716418,14.9136815920398,13409850.7462687,0.176283582089552,132.79094136276,12,1895.03507662101,180.548976476624,530.958173590882,66.2947486957286,691.803039030264,2.62090635299683,4,1997,201,48;0
4.58395348837209,13.5472093023256,12322511.627907,0.1834,133.21354288158,16,2194.354859738,208.46068921595,161.001749228196,70.6963560382506,811.137899114957,2.75476312637329,5,1997,215,52;5.5
5.8469,14.90655,13200750,0.19047,138.315131479861,16,2225.15267370979,193.899517833861,93.072365635798,65.0368870659978,857.532927345373,3.28269195556641,5,1998,200,48;0
5.86906862745098,14.0207352941176,11588627.4509804,0.246740196078431,139.22014692659,18,2115.86638445954,203,0.0843621153764939,90.037992471275,858.170153128398,4.65176582336426,6,1998,204,52;5.5
