TMIN,TMAX,IRRAD,RAIN,DVS,fertilizer,TGROWTHr,TRANRF,WLL,reward,WSO,val,nevents,year,ndays,location
6.14382978723404,15.8634574468085,12970585.106383,0.141154255319149,137.275986896887,12,1536.68029103448,139.784957834964,733.028653180886,-55.4015730396338,371.626036600229,2.38867139816284,5,1990,188,48;0
5.61585365853659,14.183756097561,12845853.6585366,0.189765853658537,143.713915037627,20,2413.91664342295,203.952101230133,0.870755552275018,129.054373292236,933.126941570883,3.81877613067627,7,1990,205,52;5.5
5.03128078817734,15.1926600985222,12830098.5221675,0.112822660098522,131.861949389694,6,1112.1871224831,137.098894686791,1225.1686866423,-11.0876583699241,238.290817135596,2.0756630897522,2,1991,203,48;0
4.57511312217195,13.2531674208145,12498325.7918552,0.161307692307692,135.883615378842,12,1994.33196519542,198.663123040706,492.878711884798,108.196221877174,763.798290536797,2.89573812484741,4,1991,221,52;5.5
5.31884422110553,15.6953266331658,12877537.6884422,0.119226130653266,122.715313787743,4,1137.80355782715,144.700095668796,1183.52950875281,10.3797930173749,342.902165336159,2.10567116737366,1,1992,199,48;0
5.51057971014493,14.0046859903382,12591787.4396135,0.183507246376812,127.937444821597,18,2256.90228462205,201.936890568198,93.1060138864886,102.977979405534,912.504949455651,3.23078727722168,5,1992,207,52;5.5
5.6880303030303,15.2343939393939,12517575.7575758,0.177732323232323,137.835759694581,12,1927.4984119964,184.340771610676,297.724756772014,97.9955118706408,802.831739151555,2.87530970573425,3,1993,198,48;0
5.18328571428572,14.1064285714286,12292095.2380952,0.177,137.533848682774,12,1770.80721201331,184.298530515988,557.0292979467,12.075004991007,609.502465078198,1.60086011886597,4,1993,210,52;5.5
6.12764102564103,15.1545641025641,13444153.8461538,0.215435897435897,136.687063376897,18,2326.46053985045,194,0.180654226866835,176.40970924462,1018.91658332985,4.11982774734497,6,1994,195,48;0
5.17454976303318,13.6793838862559,12796303.3175355,0.210838862559242,127.024051710684,20,2448.5273203167,210,0.135064598860346,163.182928266666,949.492071665239,4.31845808029175,7,1994,211,52;5.5
5.74507614213198,14.8356345177665,12259695.4314721,0.224010152284264,137.689514951058,18,2183.69590163821,196,0.199401363617167,141.410801580156,936.328728909272,3.95987725257874,6,1995,197,48;0
5.39009523809524,13.7950952380952,12697571.4285714,0.236242857142857,133.17927135845,22,2518.71615269669,209,0.0340857031824218,171.398823038453,988.258179875,4.95508432388306,7,1995,210,52;5.5
5.01425120772947,14.9792753623188,13128309.178744,0.15356038647343,133.569163834952,16,2079.54266556425,181.263937320987,444.21084050846,-76.0883997145646,587.647562991138,3.17976522445679,6,1996,207,48;0
3.47381974248927,12.8137768240343,12565150.2145923,0.117141630901288,126.310021002286,6,1368.90251429936,188.48934605595,915.175670420225,11.489382039979,460.0130504654,2.02474212646484,2,1996,233,52;5.5
5.26268656716418,14.9136815920398,13409850.7462687,0.176283582089552,132.79094136276,8,1827.43272740213,180.846163993897,514.636544848837,45.3971317305129,630.905422065048,1.97159266471863,3,1997,201,48;0
4.58395348837209,13.5472093023256,12322511.627907,0.1834,133.21354288158,16,2197.82150379924,208.417102782735,162.581926518297,73.2618039698433,813.70334704655,2.94483995437622,6,1997,215,52;5.5
5.8469,14.90655,13200750,0.19047,138.315131479861,18,2248.38208362854,193.116716961604,106.208308495489,66.2883704048684,878.784410684244,3.729820728302,6,1998,200,48;0
5.86906862745098,14.0207352941176,11588627.4509804,0.246740196078431,139.22014692659,18,2116.27287002882,203,0.0843621153764939,90.4352091700037,858.567369827127,4.33101558685303,6,1998,204,52;5.5
