TMIN,TMAX,IRRAD,RAIN,DVS,fertilizer,TGROWTHr,TRANRF,reward,WSO,nevents,year,ndays,location
6.143829787234043,15.86345744680851,12970585.10638298,0.14115425531914902,137.27598689688702,12.0,1535.9828646515248,139.78124727915554,-55.15947299524426,371.72093823918453,3,1990,188,48;0
5.615853658536587,14.183756097560972,12845853.658536585,0.18976585365853668,143.7139150376271,16.0,2346.8193474706127,203.97968591251325,111.66092100736896,875.7334892860165,4,1990,205,52;5.5
5.031280788177341,15.192660098522168,12830098.522167487,0.1128226600985222,131.8619493896937,8.0,1118.4586443598048,137.3248478191903,-24.466781967253553,244.85568184781056,2,1991,203,48;0
4.575113122171946,13.253167420814483,12498325.791855203,0.16130769230769235,135.88361537884245,12.0,1974.38629757083,198.772170753182,104.18979579242819,759.8054214059403,3,1991,221,52;5.5
5.318844221105528,15.69532663316584,12877537.688442212,0.11922613065326636,122.71531378774286,8.0,1149.6530582796968,144.41762032610356,-17.579098280214893,354.8752487112157,2,1992,199,48;0
5.5105797101449285,14.004685990338162,12591787.439613527,0.18350724637681165,127.9374448215973,16.0,2226.391452404635,202.50661522730806,99.41290171944829,888.9368272815167,4,1992,207,52;5.5
5.688030303030303,15.234393939393932,12517575.757575758,0.1777323232323232,137.83575969458056,10.0,1883.1636245705326,184.53210400623718,79.47459704596075,764.3010653576654,3,1993,198,48;0
5.183285714285715,14.10642857142857,12292095.238095239,0.17699999999999996,137.53384868277394,12.0,1760.5886688489063,184.3930084163253,9.116584030758247,606.3599488600254,3,1993,210,52;5.5
6.127641025641028,15.1545641025641,13444153.846153846,0.2154358974358973,136.68706337689713,16.0,2290.0213026230863,194.0,162.94048318152093,985.4473572667557,4,1994,195,48;0
5.174549763033175,13.679383886255929,12796303.317535546,0.2108388625592419,127.02405171068375,24.0,2492.4399014525293,210.0,164.4968800265499,990.8060234251232,7,1994,211,52;5.5
5.745076142131978,14.835634517766499,12259695.431472082,0.22401015228426413,137.68951495105767,22.0,2221.22221689629,196.0,138.06739897564955,972.9853263047652,6,1995,197,48;0
5.390095238095238,13.795095238095238,12697571.42857143,0.2362428571428573,133.1792713584499,24.0,2541.98818750241,209.0,173.4046029994566,1010.2639598360042,6,1995,210,52;5.5
5.014251207729469,14.979275362318841,13128309.178743962,0.15356038647343004,133.5691638349524,18.0,2071.4133914172207,180.75102847023584,-85.50393543642872,598.1274098798916,5,1996,207,48;0
3.473819742489271,12.813776824034335,12565150.214592274,0.11714163090128768,126.31002100228639,10.0,1397.309698863284,187.3018867254681,-2.760348906665101,485.63592937510845,3,1996,233,52;5.5
5.262686567164179,14.913681592039799,13409850.746268656,0.17628358208955233,132.79094136275958,10.0,1842.2458888439294,180.93539198320778,42.93654908176808,648.4242197505658,3,1997,201,48;0
4.583953488372094,13.547209302325587,12322511.627906976,0.1834,133.2135428815795,16.0,2161.4746589978336,208.6991319949106,65.85986029824448,806.2595394096584,4,1997,215,52;5.5
5.846900000000001,14.906550000000008,13200750.0,0.19047,138.31513147986058,16.0,2232.014999947599,193.71595998562074,69.85265870217825,862.3486989815533,4,1998,200,48;0
5.869068627450981,14.020735294117642,11588627.450980391,0.2467401960784313,139.2201469265903,16.0,2090.7732091554176,203.0,86.49084798453953,834.6230086416623,4,1998,204,52;5.5
6.283897435897434,14.98123076923077,13040564.102564102,0.2137487179487181,136.31344778355717,16.0,2200.219180558223,194.0,156.2180359374554,920.7053929750177,4,1999,195,48;0
5.667548076923078,13.805673076923082,13063028.846153846,0.2151826923076923,136.14824332949993,20.0,2424.01510820612,207.0,164.02857662343726,1006.0587448881901,5,1999,208,52;5.5
5.772598039215687,14.480196078431375,12551764.705882354,0.19704411764705884,140.6325249029245,14.0,2172.2205409439234,203.0,131.5354707412116,859.5313071328742,4,2000,204,48;0
