TMIN,TMAX,IRRAD,RAIN,DVS,fertilizer,TGROWTHr,TRANRF,reward,WSO,nevents,year,ndays,location
6.143829787234043,15.86345744680851,12970585.10638298,0.14115425531914902,137.27598689688702,12.0,1516.996526284263,139.8243724911659,-58.91257438021809,367.9678368542107,3,1990,188,48;0
5.615853658536587,14.183756097560972,12845853.658536585,0.18976585365853668,143.7139150376271,16.0,2324.8120076292953,203.99349806121177,106.94558164288662,871.0181499215341,5,1990,205,52;5.5
5.031280788177341,15.192660098522168,12830098.522167487,0.1128226600985222,131.8619493896937,10.0,1109.920215937444,137.11339422223077,-51.778144236231626,237.54431957883247,3,1991,203,48;0
4.575113122171946,13.253167420814483,12498325.791855203,0.16130769230769235,135.88361537884245,12.0,1960.4033536671318,198.94963231032932,96.31360164602131,751.9292272595334,3,1991,221,52;5.5
5.318844221105528,15.69532663316584,12877537.688442212,0.11922613065326636,122.71531378774286,8.0,1133.455338271253,144.22988310913433,-30.050262509308197,342.4040844821224,2,1992,199,48;0
5.5105797101449285,14.004685990338162,12591787.439613527,0.18350724637681165,127.9374448215973,14.0,2144.190845190292,203.758905546289,78.62188262715719,848.1458081892256,4,1992,207,52;5.5
5.688030303030303,15.234393939393932,12517575.757575758,0.1777323232323232,137.83575969458056,12.0,1895.1499789142085,184.65462565941195,81.97837704864355,786.8048453603482,3,1993,198,48;0
5.183285714285715,14.10642857142857,12292095.238095239,0.17699999999999996,137.53384868277394,10.0,1706.234941729201,185.31645356572022,-1.9866622048742215,575.2567026243929,3,1993,210,52;5.5
6.127641025641028,15.1545641025641,13444153.846153846,0.2154358974358973,136.68706337689713,18.0,2319.033843021372,194.0,174.54901467346394,1017.0558887586988,5,1994,195,48;0
5.174549763033175,13.679383886255929,12796303.317535546,0.2108388625592419,127.02405171068375,22.0,2453.208707955823,210.0,162.78040078773452,969.0895441863078,7,1994,211,52;5.5
5.745076142131978,14.835634517766499,12259695.431472082,0.22401015228426413,137.68951495105767,18.0,2183.662810213558,196.0,141.46291097830192,936.3808383074175,6,1995,197,48;0
5.390095238095238,13.795095238095238,12697571.42857143,0.2362428571428573,133.1792713584499,22.0,2498.880054890641,209.0,169.15252077506034,986.0118776116079,7,1995,210,52;5.5
5.014251207729469,14.979275362318841,13128309.178743962,0.15356038647343004,133.5691638349524,16.0,2034.4975828982735,181.8689369554012,-74.42231075456516,589.2090345617552,4,1996,207,48;0
3.473819742489271,12.813776824034335,12565150.214592274,0.11714163090128768,126.31002100228639,8.0,1379.6077792957421,187.81426258703493,3.567519154950446,471.963797436724,2,1996,233,52;5.5
5.262686567164179,14.913681592039799,13409850.746268656,0.17628358208955233,132.79094136275958,8.0,1800.6192333640502,181.1901820693839,28.428706706199875,613.9163773749976,2,1997,201,48;0
4.583953488372094,13.547209302325587,12322511.627906976,0.1834,133.2135428815795,14.0,2108.130103020281,208.97865869604496,50.27153670889457,770.6712158203085,4,1997,215,52;5.5
5.846900000000001,14.906550000000008,13200750.0,0.19047,138.31513147986058,18.0,2238.192863972215,193.26427240926787,64.63717597208586,877.1332162514609,5,1998,200,48;0
5.869068627450981,14.020735294117642,11588627.450980391,0.2467401960784313,139.2201469265903,16.0,2082.5308507559794,203.0,85.08167528512453,833.2138359422473,5,1998,204,52;5.5
